original_index,x,y,street_view,notes
23826,51.92492830391555,4.503493100982855,https://maps.app.goo.gl/p8bayeffErxB7KEi9, open mid-rise resi with some vegetation
85396,51.99197460184374,4.47829670083595,https://maps.app.goo.gl/X8FRnAf6gSwfuAhm6, open mid-rise mixed use next to a car park but some tall trees
72828,51.96243710301812,4.551547498477296,https://maps.app.goo.gl/T1ZavVUFhv41yEyMA, open commercial w/ some trees
1749,51.85517930525986,4.540920399696436,https://maps.app.goo.gl/dMPwyGfUk2Sz5Urh6, wide street b/w low and mid rise resi w/ sparse short trees
27699,51.93362060394737,4.415669803655815,n/a, looks like an industrial site
171743,51.93501570369379,4.398542603537647,https://maps.app.goo.gl/sjc6fx77Rz9KhB1w6, wide open street in industrial zone and tall trees near
14659,51.89833260461986,4.5780774997443965,https://maps.app.goo.gl/P76VRdmrJsrH8Kvh8, narrow street in low-rise residential w/ no vegetation
86379,51.8918263044778,4.413082800878977,https://maps.app.goo.gl/5taGzC6VUec4g1Cv5, wide street in industrial area w/ some tall trees near
148718,51.92787660388924,4.5527675027648264,https://maps.app.goo.gl/y3B7DbCwDMV3qRsH8, wider paved street in low-rise resi w/ short vegetation
13745,51.89593430433998,4.534275799211517,https://maps.app.goo.gl/ouVoWth4G7VgYjnG7, large car park w/ no trees
75738,51.91303390397655,4.500641301070261,https://maps.app.goo.gl/sVsK9WGDg2FUZYQCA, wide street near high rise and tall trees?
128444,51.99305380444586,4.455504699498087,https://maps.app.goo.gl/FZr7efgj6AwnLd6T7, narrower street in low-rise resi w/ no veg
133588,51.97797390329074,4.458506000567278,https://maps.app.goo.gl/14z8iPfTFxHe2ZpN9, car park with some med veg
166936,51.98276280504872,4.506173301154291,https://maps.app.goo.gl/CbD5BMJnDhhqUP1m7, car park in industrial area near some vegetation and water
34533,51.94883270462679,4.556197203138345,https://maps.app.goo.gl/4qUydqg3At3U6JBZ7, wide street in mid-high rise with some tall trees
145925,51.924103103772964,4.469185401609391,https://maps.app.goo.gl/NALHqBCaU3e8LAxo9, centraal station
157144,51.90271250327168,4.500319000508168,https://maps.app.goo.gl/WgWZ65jVkpCtN354A, narrow street in low-rise with young trees
112667,51.91684630343654,4.444278001720847,https://maps.app.goo.gl/arLPkSoKPjM1r1TJ9, wide street by a canal in mid-rise
105824,51.89129210269686,4.505837400849674,https://maps.app.goo.gl/A7h2qCjUJdqDsjsk6, low-rise resi with med veg and a lot of grass
72100,51.96594720292999,4.619264495031312,https://maps.app.goo.gl/tbBeMWnmGF2T3iMJ9, med street in low-rise with med veg
160270,51.97965980175188,4.585033099333658,https://maps.app.goo.gl/sd1vEFzq3U3ao6X67, wide street with low veg
50523,51.88645470596002,4.569913902156893,https://maps.app.goo.gl/A6w2Ty9RmYheF9EQ7, car park separated from wide road by med trees
24993,51.927611703873545,4.420187201614734,https://maps.app.goo.gl/2WdFPHCpnt3VUH4r9, low rise commercial/industrial with no veg
173485,51.88707630406415,4.550446400049516,https://maps.app.goo.gl/1CKRhwJNrS52QMKe7, open space b/w high rises with some veg
57553,51.91064270360529,4.4341385002302305,https://maps.app.goo.gl/gNnnhnfEGVQs3itF8, wide intersection
82376,51.93251170391227,4.588583900166811,https://maps.app.goo.gl/nR6V5d9yeuwtecgw5, wide street in med-high rise w/ sparse veg
134097,51.85722150296461,4.536193200196451,https://maps.app.goo.gl/TziE7EyZZJbN4tvV6, wide street in low-rise resi w/ med veg
153722,51.94303600338089,4.367726599543047,https://maps.app.goo.gl/yHAw1aAMVZjegiEE7, car park in resi w/ some trees
169387,51.906304604923776,4.491974000782939,n/a,
14605,51.89784870347116,4.5081799013022295,https://maps.app.goo.gl/cCSeH6Zw5FmXeaiB7, mid-rise with very little veg
105760,51.88501480354744,4.496223300869601,https://maps.app.goo.gl/1bFGbBYcCn2DpmWMA, wide street in mid rise w/ little veg
68772,51.880841004693366,4.501158800519586,https://maps.app.goo.gl/LUgyPqdfbtVFN2UaA, wide crossing in low rise
22905,51.92311990386975,4.486631300777434,https://maps.app.goo.gl/dM12vo6z3q414T8G8, med street in med rise w/ young trees
85708,51.90223220433218,4.552344103567421,https://maps.app.goo.gl/vvHAn33enySQGcPCA, wide road next to med rise
161407,51.922240704016566,4.4072027002314424,https://maps.app.goo.gl/MjN1QEt83qSXKQG6A, schiedam train tracks
95020,51.96552800284276,4.593321001415922,https://maps.app.goo.gl/xktPcAJSnsZd9tDe8, big car park w/ no trees
19913,51.917291603501745,4.4773837004544905,https://maps.app.goo.gl/keg7enB6PgdzUDoG6, wide intersection surrounded by trees
10127,51.88812190541275,4.547953400446902,https://maps.app.goo.gl/8mzt4mNbqPQNjLLk8, wide open paved area in higher rise w/ no trees
138880,51.984789101845955,4.455287999391601,https://maps.app.goo.gl/Z4NXym6Kb5oWZoiv5, open area in low rise resi w/ low veg
4412,51.86659150435213,4.452908301291801,https://maps.app.goo.gl/k6NvqYXUXeb353446, wide street in industrial w/ very sparse veg
25646,51.92883040382315,4.40669030204498,https://maps.app.goo.gl/dzdXjnfvD2itvzZ27, med street in med-rise w/very sparse veg
105719,51.885487702909224,4.486612200760694,https://maps.app.goo.gl/s1HeQikaVLMzQkH56, small car park in med-rise w/ lots of trees locally
13771,51.895887804412084,4.447882702269119,https://maps.app.goo.gl/wb6aDdeQc3som8Aq6, wide street in port w/no veg
107404,51.884154804130596,4.430979997538198,https://maps.app.goo.gl/BTPTc4voVaoJ6Vs39, large car park in a port
143114,51.861753804416544,4.432494901266994,https://maps.app.goo.gl/m2C9CFRSVTWQ8ztx8, gas station
127022,51.89854620365626,4.568406804334854,https://maps.app.goo.gl/95LtbxXvgzzcAWteA, wide intersection in low-rise w/hardly any veg
26658,51.931151903818304,4.481877500794195,https://maps.app.goo.gl/vZDCiY6ESW3f8Tmx6,open area in med-rise w/ little veg
166781,51.98954880261042,4.485558301011533,https://maps.app.goo.gl/FFVbgMYtycwpQrXK6, open area w/grass in low rise
117666,51.932642203930236,4.539010901038341,https://maps.app.goo.gl/uh4e5bdMAA5QdCAZA, wider street in commercial/industrial w/ little veg
105787,51.88613790464181,4.491070600823405,https://maps.app.goo.gl/DoJtNzHh3ZkwnbZj9, med street between high rises
